GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.internal,SSLUtils.new X509TrustManager() {...},8,0,0,0,4,0,4,0,4,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.internal,PKCS1Util.Asn1Object,15,38,3,3,3,11,3,4,0,4
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.internal,SSLUtils,135,75,13,5,27,15,12,6,3,6
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.internal,VersionUsageUtils,72,0,16,0,15,0,12,0,4,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.internal,PatchUtils.SingletonHolder,22,0,0,0,5,0,1,0,1,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.internal,CertUtils,80,345,18,26,21,73,18,19,3,12
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.internal,PatchUtils,5,0,0,0,2,0,2,0,2,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.internal,PKCS1Util,0,43,0,0,0,10,0,2,0,2
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.internal,SerializationUtils,41,0,4,0,11,0,7,0,5,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.internal,KubeConfigUtils,29,116,14,20,8,32,16,8,3,4
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.internal,PKCS1Util.DerParser,34,73,6,8,5,18,6,4,0,3
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.osgi,ManagedKubernetesClient,533,0,52,0,115,0,80,0,54,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.dsl.internal,RollingUpdater,525,0,12,0,94,0,14,0,8,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.dsl.internal,DeploymentOperationsImpl.DeploymentReaper.new Runnable() {...},30,0,2,0,5,0,3,0,2,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.dsl.internal,ServiceOperationsImpl.ServiceToUrlSortComparator,12,0,0,0,2,0,2,0,2,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.dsl.internal,NamespaceVisitFromServerGetWatchDeleteRecreateWaitApplicableImpl.ChangeNamespace,32,0,4,0,9,0,4,0,2,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.dsl.internal,CustomResourceOperationsImpl,386,0,6,0,26,0,20,0,17,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.dsl.internal,ClusterRoleOperationsImpl,53,0,0,0,5,0,3,0,3,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.dsl.internal,PersistentVolumeClaimOperationsImpl,145,0,0,0,8,0,5,0,5,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.dsl.internal,PersistentVolumeOperationsImpl,53,0,0,0,5,0,3,0,3,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.dsl.internal,PortForwarderWebsocket.new LocalPortForward() {...},68,0,0,0,13,0,5,0,5,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.dsl.internal,PortForwarderWebsocket.new Runnable() {...},65,0,4,0,10,0,4,0,2,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.dsl.internal,PortForwarderWebsocket.new WebSocketListener() {...},284,0,28,0,72,0,24,0,10,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.dsl.internal,PortForwarderWebsocket.new PortForward() {...},23,0,0,0,4,0,3,0,3,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.dsl.internal,EndpointsOperationsImpl,145,0,0,0,8,0,5,0,5,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.dsl.internal,ClusterOperationsImpl,63,0,0,0,13,0,2,0,2,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.dsl.internal,WatchHTTPManager.3.new Runnable() {...},37,0,0,0,9,0,2,0,2,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.dsl.internal,PodTemplateOperationsImpl,145,0,0,0,8,0,5,0,5,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.dsl.internal,DaemonSetOperationsImpl,145,0,0,0,8,0,5,0,5,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.dsl.internal,WatchConnectionManager,428,0,32,0,96,0,26,0,10,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.dsl.internal,HorizontalPodAutoscalerOperationsImpl,145,0,0,0,8,0,5,0,5,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.dsl.internal,PortForwarderWebsocket,188,0,12,0,43,0,14,0,8,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.dsl.internal,NetworkPolicyOperationsImpl,145,0,0,0,8,0,5,0,5,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.dsl.internal,EventOperationsImpl,145,0,0,0,8,0,5,0,5,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.dsl.internal,ReplicationControllerOperationsImpl,638,0,16,0,39,0,26,0,18,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.dsl.internal,ClusterRoleBindingOperationsImpl,53,0,0,0,5,0,3,0,3,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.dsl.internal,NamespaceVisitFromServerGetWatchDeleteRecreateWaitApplicableImpl,680,0,32,0,99,0,39,0,23,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.dsl.internal,RoleBindingOperationsImpl,145,0,0,0,8,0,5,0,5,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.dsl.internal,IngressOperationsImpl,145,0,0,0,8,0,5,0,5,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.dsl.internal,ScalableReaper,14,0,0,0,5,0,2,0,2,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.dsl.internal,LogWatchCallback,201,0,16,0,47,0,17,0,9,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.dsl.internal,CronJobOperationsImpl,96,0,0,0,8,0,3,0,3,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.dsl.internal,JobOperationsImpl.JobReaper,14,0,0,0,5,0,2,0,2,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.dsl.internal,PortForwarderWebsocket.3.new Runnable() {...},63,0,8,0,16,0,6,0,2,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.dsl.internal,DefaultOperationInfo,38,0,0,0,11,0,6,0,6,0
Fabric8 :: Kubernetes :: Java Client,io.fabric8.kubernetes.client.dsl.internal,PodOperationsImpl,2010,0,40,0,126,0,57,0,37,0
