GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.handlers,SecurityContextConstraintsHandler,338,0,0,0,11,0,11,0,11,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.handlers,NetNamespaceHandler,338,0,0,0,11,0,11,0,11,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.handlers,OAuthClientHandler,338,0,0,0,11,0,11,0,11,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.handlers,OpenshiftRoleBindingHandler,337,0,0,0,11,0,11,0,11,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.handlers,GroupHandler,338,0,0,0,11,0,11,0,11,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.handlers,OpenshiftRoleHandler,338,0,0,0,11,0,11,0,11,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.handlers,TemplateHandler,338,0,0,0,11,0,11,0,11,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.handlers,IdentityHandler,338,0,0,0,11,0,11,0,11,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.handlers,ProjectHandler,338,0,0,0,11,0,11,0,11,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.handlers,ImageStreamHandler,338,0,0,0,11,0,11,0,11,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.handlers,OpenshiftClusterRoleBindingHandler,338,0,0,0,11,0,11,0,11,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.handlers,ImageStreamTagHandler,338,0,0,0,11,0,11,0,11,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.handlers,BuildConfigHandler,338,0,0,0,11,0,11,0,11,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.handlers,UserHandler,338,0,0,0,11,0,11,0,11,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.handlers,OAuthAuthorizeTokenHandler,338,0,0,0,11,0,11,0,11,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.handlers,BuildHandler,338,0,0,0,11,0,11,0,11,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.handlers,OAuthAccessTokenHandler,338,0,0,0,11,0,11,0,11,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.handlers,RouteHandler,338,0,0,0,11,0,11,0,11,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.handlers,OAuthClientAuthorizationHandler,338,0,0,0,11,0,11,0,11,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.handlers,DeploymentConfigHandler,337,0,0,0,11,0,11,0,11,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.handlers,ImageHandler,338,0,0,0,11,0,11,0,11,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client,OpenShiftConfigBuilder,339,422,24,0,67,62,18,4,6,4
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client,OpenShiftAPIGroups,3,0,0,0,1,0,1,0,1,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client,OpenshiftAdapterSupport,148,33,30,2,36,5,19,3,4,2
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client,DefaultOpenShiftClient,546,74,12,0,90,16,72,4,66,4
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client,URLFromOpenshiftRouteImpl,158,0,22,0,31,0,16,0,5,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client,OpenShiftConfigFluentImpl,335,35,28,0,63,10,20,9,6,9
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client,OpenShiftNotAvailableException,4,0,0,0,2,0,1,0,1,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client,CodgeGen,3,0,0,0,1,0,1,0,1,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client,ParameterValue,15,0,0,0,6,0,3,0,3,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client,OpenShiftExtensionAdapter,36,0,2,0,5,0,4,0,3,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client,OpenShiftConfig,28,323,5,13,9,68,6,22,2,17
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client,NamespacedOpenShiftExtensionAdapter,36,0,2,0,5,0,4,0,3,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.internal,OpenShiftOAuthInterceptor,292,14,38,0,52,5,23,1,4,1
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.osgi,ManagedOpenShiftClient,615,0,48,0,127,0,96,0,72,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.dsl.internal,SubjectAccessReviewOperationImpl,129,0,14,0,22,0,15,0,8,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.dsl.internal,DeploymentConfigOperationsImpl.new Runnable() {...},140,0,10,0,18,0,7,0,2,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.dsl.internal,SubjectAccessReviewOperationImpl.CreateableLocalSubjectAccessReviewImpl,71,0,4,0,17,0,7,0,5,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.dsl.internal,GroupOperationsImpl,55,0,0,0,5,0,3,0,3,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.dsl.internal,OpenshiftRoleOperationsImpl,129,0,0,0,6,0,4,0,4,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.dsl.internal,TemplateOperationsImpl,851,0,66,0,137,0,53,0,20,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.dsl.internal,OAuthAuthorizeTokenOperationsImpl,55,0,0,0,5,0,3,0,3,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.dsl.internal,BuildConfigOperationsImpl.new RequestBody() {...},38,0,0,0,11,0,4,0,4,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.dsl.internal,OpenShiftOperation,119,0,4,0,18,0,8,0,6,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.dsl.internal,ImageStreamOperationsImpl,129,0,0,0,6,0,4,0,4,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.dsl.internal,ProjectRequestsOperationImpl,194,0,10,0,36,0,15,0,10,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.dsl.internal,BuildConfigOperationsImpl,1462,0,32,0,104,0,42,0,26,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.dsl.internal,DeploymentConfigOperationsImpl.DeploymentConfigReaper,156,0,6,0,40,0,7,0,4,0
Fabric8 :: Openshift :: Java Client,io.fabric8.openshift.client.dsl.internal,OAuthAccessTokenOperationsImpl,55,0,0,0,5,0,3,0,3,0
