Dec 31, 2019 2:10:11 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Dec 31, 2019 2:10:11 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Dec 31, 2019 2:10:11 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /home/xsw/spark-work/kubernetes-client/platforms/karaf/itests/target/exam/5de20d6d-d430-4db9-858f-02479199e838/lock
Dec 31, 2019 2:10:11 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Dec 31, 2019 2:10:11 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2019-12-31T14:10:13,576 | INFO  | activator-1-thread-2 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 | Adding features: shell/[4.2.2,4.2.2],scr/[4.2.2,4.2.2],bundle/[4.2.2,4.2.2],exam/[4.13.1,4.13.1],feature/[4.2.2,4.2.2],openshift-client/[4.1.2,4.1.2],framework/[4.2.2,4.2.2],jaas/[4.2.2,4.2.2],ssh/[4.2.2,4.2.2],test-dependencies/[0,0.0.0],log/[4.2.2,4.2.2],config/[4.2.2,4.2.2]
2019-12-31T14:10:13,985 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 | Changes to perform:
2019-12-31T14:10:13,985 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   Region: root
2019-12-31T14:10:13,985 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |     Bundles to install:
2019-12-31T14:10:13,985 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:com.fasterxml.jackson.core/jackson-annotations/2.9.8
2019-12-31T14:10:13,985 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:com.fasterxml.jackson.core/jackson-core/2.9.8
2019-12-31T14:10:13,985 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:com.fasterxml.jackson.core/jackson-databind/2.9.8
2019-12-31T14:10:13,985 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:com.fasterxml.jackson.dataformat/jackson-dataformat-yaml/2.9.8
2019-12-31T14:10:13,986 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:io.fabric8/kubernetes-client/4.1.2/jar/bundle
2019-12-31T14:10:13,986 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:io.fabric8/kubernetes-model/4.1.2
2019-12-31T14:10:13,986 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:io.fabric8/openshift-client/4.1.2/jar/bundle
