Dec 31, 2019 2:09:55 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Dec 31, 2019 2:09:55 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Dec 31, 2019 2:09:55 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /home/xsw/spark-work/kubernetes-client/platforms/karaf/itests/target/exam/8903f78d-fc1e-434e-931b-4b7a93d80ce9/lock
Dec 31, 2019 2:09:55 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Dec 31, 2019 2:09:55 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2019-12-31T14:09:56,795 | DEBUG | CM Configuration Updater (Update: pid=org.apache.karaf.features) | configadmin                      | 7 - org.apache.felix.configadmin - 1.9.10 | Running task Update: pid=org.apache.karaf.features
2019-12-31T14:09:56,802 | DEBUG | CM Configuration Updater (Update: pid=org.apache.karaf.features) | configadmin                      | 7 - org.apache.felix.configadmin - 1.9.10 | Updating configuration org.apache.karaf.features to revision #2
2019-12-31T14:09:56,805 | DEBUG | CM Configuration Updater (Update: pid=org.apache.karaf.features) | configadmin                      | 7 - org.apache.felix.configadmin - 1.9.10 | Running task Update: pid=org.apache.karaf.shell
2019-12-31T14:09:56,805 | DEBUG | CM Configuration Updater (Update: pid=org.apache.karaf.features) | configadmin                      | 7 - org.apache.felix.configadmin - 1.9.10 | Updating configuration org.apache.karaf.shell to revision #2
2019-12-31T14:09:56,805 | DEBUG | CM Configuration Updater (Update: pid=org.apache.karaf.features) | configadmin                      | 7 - org.apache.felix.configadmin - 1.9.10 | Running task Update: pid=org.apache.karaf.kar
2019-12-31T14:09:56,805 | DEBUG | CM Configuration Updater (Update: pid=org.apache.karaf.features) | configadmin                      | 7 - org.apache.felix.configadmin - 1.9.10 | Updating configuration org.apache.karaf.kar to revision #2
2019-12-31T14:09:56,805 | DEBUG | CM Configuration Updater (Update: pid=org.apache.karaf.features) | configadmin                      | 7 - org.apache.felix.configadmin - 1.9.10 | Running task Update: pid=org.ops4j.pax.url.mvn
2019-12-31T14:09:56,806 | DEBUG | CM Configuration Updater (Update: pid=org.apache.karaf.features) | configadmin                      | 7 - org.apache.felix.configadmin - 1.9.10 | Updating configuration org.ops4j.pax.url.mvn to revision #2
2019-12-31T14:09:56,806 | DEBUG | CM Configuration Updater (Update: pid=org.apache.karaf.features) | configadmin                      | 7 - org.apache.felix.configadmin - 1.9.10 | canReceive=true; bundle=mvn:org.ops4j.pax.url/pax-url-aether/2.5.4; configuration=? (no SecurityManager)
2019-12-31T14:09:57,294 | DEBUG | CM Configuration Updater (Update: pid=org.ops4j.pax.url.mvn) | mvn                              | 2 - org.ops4j.pax.url.mvn - 2.5.4 | ServiceEvent REGISTERED - [org.ops4j.pax.url.mvn.MavenResolver] - org.ops4j.pax.url.mvn
2019-12-31T14:09:57,300 | DEBUG | CM Configuration Updater (Update: pid=org.ops4j.pax.url.mvn) | mvn                              | 2 - org.ops4j.pax.url.mvn - 2.5.4 | ServiceEvent REGISTERED - [org.osgi.service.url.URLStreamHandlerService] - org.ops4j.pax.url.mvn
2019-12-31T14:09:57,322 | DEBUG | activator-1-thread-2 | core                             | 9 - org.apache.karaf.features.core - 4.2.2 | ServiceEvent REGISTERED - [org.osgi.framework.hooks.resolver.ResolverHookFactory] - org.apache.karaf.features.core
2019-12-31T14:09:57,330 | DEBUG | activator-1-thread-2 | core                             | 9 - org.apache.karaf.features.core - 4.2.2 | ServiceEvent REGISTERED - [org.osgi.framework.hooks.bundle.CollisionHook] - org.apache.karaf.features.core
2019-12-31T14:09:57,332 | DEBUG | activator-1-thread-2 | core                             | 9 - org.apache.karaf.features.core - 4.2.2 | ServiceEvent REGISTERED - [org.osgi.framework.hooks.bundle.FindHook] - org.apache.karaf.features.core
2019-12-31T14:09:57,332 | DEBUG | activator-1-thread-2 | core                             | 9 - org.apache.karaf.features.core - 4.2.2 | ServiceEvent REGISTERED - [org.osgi.framework.hooks.bundle.EventHook] - org.apache.karaf.features.core
2019-12-31T14:09:57,336 | DEBUG | activator-1-thread-2 | core                             | 9 - org.apache.karaf.features.core - 4.2.2 | ServiceEvent REGISTERED - [org.osgi.framework.hooks.service.FindHook] - org.apache.karaf.features.core
2019-12-31T14:09:57,342 | DEBUG | activator-1-thread-2 | core                             | 9 - org.apache.karaf.features.core - 4.2.2 | ServiceEvent REGISTERED - [org.osgi.framework.hooks.service.EventHook] - org.apache.karaf.features.core
2019-12-31T14:09:57,344 | DEBUG | activator-1-thread-2 | core                             | 9 - org.apache.karaf.features.core - 4.2.2 | ServiceEvent REGISTERED - [org.eclipse.equinox.region.RegionDigraph] - org.apache.karaf.features.core
2019-12-31T14:09:57,355 | DEBUG | activator-1-thread-2 | core                             | 9 - org.apache.karaf.features.core - 4.2.2 | ServiceEvent REGISTERED - [org.eclipse.equinox.internal.region.RegionLifecycleListener] - org.apache.karaf.features.core
2019-12-31T14:09:57,377 | DEBUG | activator-1-thread-2 | framework                        | 0 - org.apache.felix.framework - 5.6.10 | ServiceEvent REGISTERED - [org.osgi.framework.hooks.resolver.ResolverHookFactory] - org.apache.felix.framework
2019-12-31T14:09:57,379 | DEBUG | activator-1-thread-2 | core                             | 9 - org.apache.karaf.features.core - 4.2.2 | ServiceEvent REGISTERED - [org.apache.karaf.features.RegionDigraphPersistence] - org.apache.karaf.features.core
