Dec 31, 2019 2:10:04 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Dec 31, 2019 2:10:04 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Dec 31, 2019 2:10:04 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /home/xsw/spark-work/kubernetes-client/platforms/karaf/itests/target/exam/a31a7682-c2c5-4499-bb84-d06af343a253/lock
Dec 31, 2019 2:10:04 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Dec 31, 2019 2:10:04 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2019-12-31T14:10:06,409 | INFO  | activator-1-thread-2 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 | Adding features: shell/[4.2.2,4.2.2],bundle/[4.2.2,4.2.2],exam/[4.13.1,4.13.1],feature/[4.2.2,4.2.2],framework/[4.2.2,4.2.2],jaas/[4.2.2,4.2.2],ssh/[4.2.2,4.2.2],test-dependencies/[0,0.0.0],log/[4.2.2,4.2.2],config/[4.2.2,4.2.2]
2019-12-31T14:10:06,728 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 | Changes to perform:
2019-12-31T14:10:06,739 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |   Region: root
2019-12-31T14:10:06,739 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |     Bundles to install:
2019-12-31T14:10:06,739 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.apache.geronimo.specs/geronimo-atinject_1.0_spec/1.0
2019-12-31T14:10:06,739 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.core/4.2.2
2019-12-31T14:10:06,739 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.apache.karaf.config/org.apache.karaf.config.core/4.2.2
2019-12-31T14:10:06,739 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.apache.karaf.features/org.apache.karaf.features.command/4.2.2
2019-12-31T14:10:06,740 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.command/4.2.2
2019-12-31T14:10:06,740 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.config/4.2.2
2019-12-31T14:10:06,740 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.modules/4.2.2
